
CUSTOMMODULE9 ID,公司名称,价值,区,地址,城市,数据来源,标签,标记数字,注册资金,省,经营范围,联系电话,营销数据修改时间,营销数据修改者,营销数据创建时间,营销数据创建者,营销数据所有者,营销数据最近操作时间,营销进度,负责人,重复数据
zcrm_105530000001792886,大众万祥汽车修理公司,,,宝山区共和新路5252号,上海,百度地图,,0,,,,021-56415415,2018-04-10 11:14 ,零克,2018-04-09 06:07 ,零克,零克,2018-04-10 11:14 ,,,
zcrm_105530000001792887,宾利上海维修中心,高,,长江西路935号,上海,百度地图,,0,,,,021-60651133,2018-04-10 11:14 ,零克,2018-04-09 06:07 ,零克,零克,2018-04-10 11:14 ,,,
zcrm_105530000001792888,上海闸捷汽车维修有限公司,,,呼兰路555号,上海,百度地图,,0,,,,66224829,2018-04-10 11:14 ,零克,2018-04-09 06:07 ,零克,零克,2018-04-10 11:14 ,,,
zcrm_105530000001792889,上海邦友高级汽车修理有限公司,高,,上海市浦东新区杨高南路1998号,上海,百度地图,,0,,,,021-50898835、021-50892202,2018-04-10 11:14 ,零克,2018-04-09 06:07 ,零克,零克,2018-04-10 11:14 ,,,
zcrm_105530000001792891,上海浦东汽车检修中心有限公司,低,,华夏东路2005号(华夏东路情谊路),上海,百度地图,,0,,,,021-58921711,2018-04-10 11:14 ,零克,2018-04-09 06:07 ,零克,零克,2018-04-10 11:14 ,,,
zcrm_105530000001792892,广汽传祺(广玉店),无,,上海市浦东新区沪南路7989号,上海,百度地图,,0,,,,021-58179988,2018-04-10 11:14 ,零克,2018-04-09 06:07 ,零克,零克,2018-04-10 11:14 ,,,
zcrm_105530000001792893,上海万鸿汽车修理有限公司,高,,上海市宝山区通南路323号,上海,百度地图,,0,,,,15026848788,2018-04-10 11:14 ,零克,2018-04-09 06:07 ,零克,零克,2018-04-10 11:14 ,,,
zcrm_105530000001792894,民华汽车维修有限公司,,,东塘湾路99号,上海,百度地图,,0,,,,021-64844955,2018-04-10 11:14 ,零克,2018-04-09 06:07 ,零克,零克,2018-04-10 11:14 ,,,
zcrm_105530000001792895,上海灵宝汽车服务有限公司,,,江杨南路1092号,上海,百度地图,,0,,,,021-56790999,2018-04-10 11:14 ,零克,2018-04-09 06:07 ,零克,零克,2018-04-10 11:14 ,,,
zcrm_105530000001792896,车车翔快修连锁NO.011店,高,,上海市徐汇区瑞金南路608,上海,百度地图,,0,,,,021-54962037,2018-04-10 11:14 ,零克,2018-04-09 06:07 ,零克,零克,2018-04-10 11:14 ,,,
zcrm_105530000001792897,上海佳捷汽车修理服务有限公司,无,,富水路788号,上海,百度地图,,0,,,,021-62844993,2018-04-10 11:14 ,零克,2018-04-09 06:07 ,零克,零克,2018-04-10 11:14 ,,,
zcrm_105530000001792898,上海汇龙汽车修理有限公司,中,,上海市宝山区真北路3508弄2号,上海,百度地图,,0,,,,021-66349727,2018-04-10 11:14 ,零克,2018-04-09 06:07 ,零克,零克,2018-04-10 11:14 ,,,
zcrm_105530000001792899,迈斯特(上海)汽车服务有限公司,无,,吴中路1368号,上海,百度地图,,0,,,,021-34321989,2018-04-10 11:14 ,零克,2018-04-09 06:07 ,零克,零克,2018-04-10 11:14 ,,,
zcrm_105530000001792900,上海家辙汽车服务有限公司,低,,嘉定区福海路1186号2幢,上海,百度地图,,0,,,,021-59532997,2018-04-10 11:14 ,零克,2018-04-09 06:07 ,零克,零克,2018-04-10 11:14 ,,,
zcrm_105530000001792901,上海书豪汽车修理厂,无,,三泉路1号,上海,百度地图,,0,,,,021-31272727,2018-04-10 11:14 ,零克,2018-04-09 06:07 ,零克,零克,2018-04-10 11:14 ,,,
zcrm_105530000001792903,上海佳沪汽车维修服务有限公司,,,松江区九亭镇盛富路3号6幢2层,上海,百度地图,,0,,,,13764727502 021-33550252，，,2018-04-10 11:14 ,零克,2018-04-09 06:07 ,零克,零克,2018-04-10 11:14 ,深度合作,,
zcrm_105530000001792904,上海朝林汽车服务有限公司,无,,上海市浦东新区成山路1011号(近杨高南路),上海,百度地图,,0,,,,021-68367310,2018-04-10 11:14 ,零克,2018-04-09 06:07 ,零克,零克,2018-04-10 11:14 ,,,
zcrm_105530000001792905,上海技嘉汽车维修服务有限公司,高,,巨鹿路272之1-2,上海,百度地图,,0,,,,021-62711648,2018-04-10 11:14 ,零克,2018-04-09 06:07 ,零克,零克,2018-04-10 11:14 ,,,
zcrm_105530000001792906,上海友单汽车修理有限公司,中,,安亭镇黄渡镇新黄路8号,上海,百度地图,,0,,,,021-59921892 13918319319,2018-04-10 11:14 ,零克,2018-04-09 06:07 ,零克,零克,2018-04-10 11:14 ,,,
zcrm_105530000001792908,上海申和汽车修理有限公司,,,天山西路2758号,上海,百度地图,,0,,,,021-52210568,2018-04-10 11:14 ,零克,2018-04-09 06:07 ,零克,零克,2018-04-10 11:14 ,,,
zcrm_105530000001792909,上海通博汽车维修有限公司,无,,021-64215208,上海,百度地图,,0,,,,中春路7039弄28号,2018-04-10 11:14 ,零克,2018-04-09 06:07 ,零克,零克,2018-04-10 11:14 ,,,
zcrm_105530000001792910,驰加汽车服务中心(淞虹路店),中,,上海市长宁区淞虹路845号,上海,百度地图,,0,,,,021-52065336,2018-04-10 11:14 ,零克,2018-04-09 06:07 ,零克,零克,2018-04-10 11:14 ,,,
zcrm_105530000001792911,驰加汽车服务中心(威宁路店),高,,上海市长宁区威宁路106号,上海,百度地图,,0,,,,021-62422807,2018-04-10 11:14 ,零克,2018-04-09 06:07 ,零克,零克,2018-04-10 11:14 ,,,
zcrm_105530000001792912,车平方汽车修理厂,,,新桥镇春九路1号,上海,百度地图,,0,,,,021-67641333,2018-04-10 11:14 ,零克,2018-04-09 06:07 ,零克,零克,2018-04-10 11:14 ,,,
zcrm_105530000001792914,海宝汽车快修,中,,上海市浦东新区东三里桥路428号,上海,百度地图,,0,,,,021-58995539/021-58995538,2018-04-10 11:14 ,零克,2018-04-09 06:07 ,零克,零克,2018-04-10 11:14 ,,,
zcrm_105530000001792915,上海明明汽车快修店,无,,上海市浦东新区东陆路666号,上海,百度地图,,0,,,,021-50254689,2018-04-10 11:14 ,零克,2018-04-09 06:07 ,零克,零克,2018-04-10 11:14 ,,,
zcrm_105530000001792916,上海沪菲汽修,低,,上海市闵行区航中路238号,上海,百度地图,,0,,,,021-54492958,2018-04-10 11:14 ,零克,2018-04-09 06:07 ,零克,零克,2018-04-10 11:14 ,,,
zcrm_105530000001792917,驰加汽车服务中心(中山北路店),高,,中山北路125号底层,上海,百度地图,,0,,,,021-56310693,2018-04-10 11:14 ,零克,2018-04-09 06:07 ,零克,零克,2018-04-10 11:14 ,,,
zcrm_105530000001792918,柚紫养车(吴淞店),无,,上海市宝山区同泰北路191号洛克公寓内(近同济支路),上海,百度地图,,0,,,,021-66181662,2018-04-10 11:14 ,零克,2018-04-09 06:07 ,零克,零克,2018-04-10 11:14 ,,,
zcrm_105530000001792920,恒顺汽修部,无,,芳草路265,上海,百度地图,,0,,,,021-58432235,2018-04-10 11:14 ,零克,2018-04-09 06:07 ,零克,零克,2018-04-10 11:14 ,,,
zcrm_105530000001792921,海宝豪华车专修连锁,中,,上海市浦东新区崮山路930号,上海,百度地图,,0,,,,021-50500105,2018-04-10 11:14 ,零克,2018-04-09 06:07 ,零克,零克,2018-04-10 11:14 ,,,
zcrm_105530000001792922,车车翔快修茸誉汽车技术服务,高,,上海市浦东新区川沙路1107号-临,上海,百度地图,,0,,,,4008007285,2018-04-10 11:14 ,零克,2018-04-09 06:07 ,零克,零克,2018-04-10 11:14 ,,,
zcrm_105530000001792923,御车坊专修大众,无,,上海市浦东新区康桥路1125号,上海,百度地图,,0,,,,13601608276,2018-04-10 11:14 ,零克,2018-04-09 06:07 ,零克,零克,2018-04-10 11:14 ,,,
zcrm_105530000001792924,驰加汽车服务中心(万荣路店),无,,万荣路209号,上海,百度地图,,0,,,,021-56037145,2018-04-10 11:14 ,零克,2018-04-09 06:07 ,零克,零克,2018-04-10 11:14 ,,,
zcrm_105530000001792925,友联汽车修理厂,中,,真北路1036号,上海,百度地图,,0,,,,021-62650951,2018-04-10 11:14 ,零克,2018-04-09 06:07 ,零克,零克,2018-04-10 11:14 ,,,
zcrm_105530000001792926,上海向前汽车修配厂,,,沪青平公路2155临,上海,百度地图,,0,,,,021-59764999,2018-04-10 11:14 ,零克,2018-04-09 06:07 ,零克,零克,2018-04-10 11:14 ,,,
zcrm_105530000001792927,上海黄渡兴明汽车修配厂,无,,曹安路4661号,上海,百度地图,,0,,,,021-59595179,2018-04-10 11:14 ,零克,2018-04-09 06:07 ,零克,零克,2018-04-10 11:14 ,,,
zcrm_105530000001792928,德国马牌(华容路店),无,,徐汇区华容路109号,上海,百度地图,,0,,,,15618263938,2018-04-10 11:14 ,零克,2018-04-09 06:07 ,零克,零克,2018-04-10 11:14 ,,,
zcrm_105530000001792929,九华汽车(颛兴东路店),无,,上海市闵行区颛兴东路985号,上海,百度地图,,0,,,,021-34305200,2018-04-10 11:14 ,零克,2018-04-09 06:07 ,零克,零克,2018-04-10 11:14 ,,,
zcrm_105530000001792931,大众公园,中,,闵行区友东路39号,上海,百度地图,,0,,,,021-54130883/021-54335172,2018-04-10 11:14 ,零克,2018-04-09 06:07 ,零克,零克,2018-04-10 11:14 ,,,
zcrm_105530000001792936,上海捷宝汽车维修服务有限公司,无,,外环路350号,上海,百度地图,,0,,,,021-54530022,2018-04-10 11:14 ,零克,2018-04-09 06:07 ,零克,零克,2018-04-10 11:14 ,,,
zcrm_105530000001792937,美车堂汽车快修中心,中,,莲花南路161-2号,上海,百度地图,,0,,,,021-24281952,2018-04-10 11:14 ,零克,2018-04-09 06:07 ,零克,零克,2018-04-10 11:14 ,,,
zcrm_105530000001792938,舒畅汽车修理厂,中,,上海市松江区九亭镇久富路299号,上海,百度地图,,0,,,,13917960788,2018-04-10 11:14 ,零克,2018-04-09 06:07 ,零克,零克,2018-04-10 11:14 ,,,
zcrm_105530000001792942,上海九华汽车维修有限公司,无,,上海市闵行区颛兴东路988号,上海,百度地图,,0,,,,8008108168/4008877766/021-34305200,2018-04-10 11:14 ,零克,2018-04-09 06:07 ,零克,零克,2018-04-10 11:14 ,,,
zcrm_105530000001792944,上海远程汽车维修有限公司,无,,上海市闵行区光华路526号,上海,百度地图,,0,,,,021-64422114/021-64893316,2018-04-10 11:14 ,零克,2018-04-09 06:07 ,零克,零克,2018-04-10 11:14 ,,,
zcrm_105530000001792945,上汽大众汽车泰宸特约维修站,低,,上海市闵行区春申路2439号,上海,百度地图,,0,,,,021-54378873,2018-04-10 11:14 ,零克,2018-04-09 06:07 ,零克,零克,2018-04-10 11:14 ,,,
zcrm_105530000001792946,东风风神上海东神专营店,无,,上海市闵行区沪青平公路955号,上海,百度地图,,0,,,,021-51093069,2018-04-10 11:14 ,零克,2018-04-09 06:07 ,零克,零克,2018-04-10 11:14 ,,,
zcrm_105530000001792948,铑晨汽修厂,,,上海市龙吴路1100号,上海,百度地图,,0,,,,021-54357067,2018-04-10 11:14 ,零克,2018-04-09 06:07 ,零克,零克,2018-04-10 11:14 ,,,
zcrm_105530000001792949,风行汽车上海风神营销店,无,,上海市闵行区中春路6785号,上海,百度地图,,0,,,,021-54888803,2018-04-10 11:14 ,零克,2018-04-09 06:07 ,零克,零克,2018-04-10 11:14 ,,,
zcrm_105530000001792950,知车汇汽车服务(杨鑫路),高,,上海市宝山区杨鑫路298号(地铁一号线宝安公路站),上海,百度地图,,0,,,,021-56807680,2018-04-10 11:14 ,零克,2018-04-09 06:07 ,零克,零克,2018-04-10 11:14 ,,,
zcrm_105530000001792951,阳光汽修,,,呼兰路455号-6,上海,百度地图,,0,,,,13916453204,2018-04-10 11:14 ,零克,2018-04-09 06:07 ,零克,零克,2018-04-10 11:14 ,,,
zcrm_105530000001792952,佳捷汽车维修,,,米泉路225,上海,百度地图,,0,,,,15821497327,2018-04-10 11:14 ,零克,2018-04-09 06:07 ,零克,零克,2018-04-10 11:14 ,,,
zcrm_105530000001792953,川鑫汽车专业维修美容,无,,上海市嘉定区金润路448号,上海,百度地图,,0,,,,13764010300,2018-04-10 11:14 ,零克,2018-04-09 06:07 ,零克,零克,2018-04-10 11:14 ,,,
zcrm_105530000001792954,安吉汽修,中,,上海市崇明区长兴镇先进村凤凰公路凤凰花苑北50米,上海,百度地图,,0,,,,15821503635,2018-04-10 11:14 ,零克,2018-04-09 06:07 ,零克,零克,2018-04-10 11:14 ,,,
zcrm_105530000001792955,永发汽车修理厂,中,,上海市浦东新区新前路1311,上海,百度地图,,0,,,,13764397559,2018-04-10 11:14 ,零克,2018-04-09 06:07 ,零克,零克,2018-04-10 11:14 ,,,
zcrm_105530000001792956,上海小宇汽车修理有限公司,低,,上海市浦东新区青厦路195,上海,百度地图,,0,,,,15821956385,2018-04-10 11:14 ,零克,2018-04-09 06:07 ,零克,零克,2018-04-10 11:14 ,,,
zcrm_105530000001792957,古苑汽车修理厂,,,横新公路120号,上海,百度地图,,0,,,,021-58171302,2018-04-10 11:14 ,零克,2018-04-09 06:07 ,零克,零克,2018-04-10 11:14 ,,,
zcrm_105530000001792958,宇腾汽车修理部,高,,崇明区向化镇陈彷公路3752号,上海,百度地图,,0,,,,18217682783,2018-04-10 11:14 ,零克,2018-04-09 06:07 ,零克,零克,2018-04-10 11:14 ,,,
zcrm_105530000001792959,上海大众汽车南空特约维修站,,,虹口区场中路,上海,百度地图,,0,,,,021-65427947,2018-04-10 11:14 ,零克,2018-04-09 06:07 ,零克,零克,2018-04-10 11:14 ,,,
zcrm_105530000001792960,志远专业汽修,中,,上海市浦东新区赵高公路1552、1554号,上海,百度地图,,0,,,,18621728698,2018-04-10 11:14 ,零克,2018-04-09 06:07 ,零克,零克,2018-04-10 11:14 ,,,
zcrm_105530000001792961,经工汽车服务连锁,中,,上海市宝山区南蕰藻路1849号,上海,百度地图,,0,,,,13818165268/021-56476691,2018-04-10 11:14 ,零克,2018-04-09 06:07 ,零克,零克,2018-04-10 11:14 ,,,
zcrm_105530000001792963,诚信汽车修理厂,无,,上海市宝山区军工路4968号,上海,百度地图,,0,,,,15221836159,2018-04-10 11:14 ,零克,2018-04-09 06:07 ,零克,零克,2018-04-10 11:14 ,,,
zcrm_105530000001792964,佳通轿车服务站(NO.0330),,,上海市浦东新区唐兴路500号,上海,百度地图,,0,,,,13901835163,2018-04-10 11:14 ,零克,2018-04-09 06:07 ,零克,零克,2018-04-10 11:14 ,,,
zcrm_105530000001792965,车杰汽修连锁,中,,上海市杨浦区国和路627临,上海,百度地图,,0,,,,021-65271023,2018-04-10 11:14 ,零克,2018-04-09 06:07 ,零克,零克,2018-04-10 11:14 ,,,
zcrm_105530000001792966,睿富汽修,中,,上海市浦东新区川沙路1775号-临,上海,百度地图,,0,,,,13052532671,2018-04-10 11:14 ,零克,2018-04-09 06:07 ,零克,零克,2018-04-10 11:14 ,,,
zcrm_105530000001792967,东风汽修,无,,上海市浦东新区川沙路4137弄18号,上海,百度地图,,0,,,,021-58919535,2018-04-10 11:14 ,零克,2018-04-09 06:07 ,零克,零克,2018-04-10 11:14 ,,,
zcrm_105530000001792968,上海陆岭汽车修理厂,无,,川沙新镇周祝公路其新连路598,上海,百度地图,,0,,,,021-58162816,2018-04-10 11:14 ,零克,2018-04-09 06:07 ,零克,零克,2018-04-10 11:14 ,,,
zcrm_105530000001792970,长城汽修,无,,上海市浦东新区东靖路431号,上海,百度地图,,0,,,,18818098651/13916452558,2018-04-10 11:14 ,零克,2018-04-09 06:07 ,零克,零克,2018-04-10 11:14 ,,,
zcrm_105530000001792972,上海富赛汽车维修服务有限公司,,,秀山路7号3号楼1楼,上海,百度地图,,0,,,,021-69629317,2018-04-10 11:14 ,零克,2018-04-09 06:07 ,零克,零克,2018-04-10 11:14 ,,,
zcrm_105530000001792973,上海宝山向东汽车修理厂,无,,上海市宝山区沪太路9609号,上海,百度地图,,0,,,,021-56012868,2018-04-10 11:14 ,零克,2018-04-09 06:07 ,零克,零克,2018-04-10 11:14 ,,,
zcrm_105530000001792974,华胜豪车专修连锁(NO.135上海崇明店),,,上海市崇明区堡镇北路800号,上海,百度地图,,0,,,,021-39661991,2018-04-10 11:14 ,零克,2018-04-09 06:07 ,零克,零克,2018-04-10 11:14 ,,,
zcrm_105530000001792975,小吴汽车修理,,,上海市浦东新区上川路939号,上海,百度地图,,0,,,,13585610644,2018-04-10 11:14 ,零克,2018-04-09 06:07 ,零克,零克,2018-04-10 11:14 ,,,
zcrm_105530000001792976,上海耐行汽车修理有限公司,,,川沙路4205弄48号,上海,百度地图,,0,,,,021-38910108,2018-04-10 11:14 ,零克,2018-04-09 06:07 ,零克,零克,2018-04-10 11:14 ,,,
zcrm_105530000001792977,车洁仕汽车维修店,,,创新中路901号,上海,百度地图,,0,,,,13817828872,2018-04-10 11:14 ,零克,2018-04-09 06:07 ,零克,零克,2018-04-10 11:14 ,,,
zcrm_105530000001792979,俊翼汽修,,,上海市浦东新区曹路镇秦家港路1377号,上海,百度地图,,0,,,,15601726807,2018-04-10 11:14 ,零克,2018-04-09 06:07 ,零克,零克,2018-04-10 11:14 ,,,
zcrm_105530000001792980,隆凯汽修,,,上海市宝山区场中路3580号中石油加油站内(近沪太路),上海,百度地图,,0,,,,18801919033,2018-04-10 11:14 ,零克,2018-04-09 06:07 ,零克,零克,2018-04-10 11:14 ,,,
zcrm_105530000001792981,上海浦东冠余汽车修理厂,,,上海市浦东新区川六公路2799号,上海,百度地图,,0,,,,021-58592093,2018-04-10 11:14 ,零克,2018-04-09 06:07 ,零克,零克,2018-04-10 11:14 ,,,
zcrm_105530000001792983,车杰汽车快修繁博店,,,德堡路38号2幢西区103-19,上海,百度地图,,0,,,,58547065/13061631973,2018-04-10 11:14 ,零克,2018-04-09 06:07 ,零克,零克,2018-04-10 11:14 ,,,
zcrm_105530000001792984,车大大车管家(高逸路店),,,宝山区高逸路116号,上海,百度地图,,0,,,,18017386520,2018-04-10 11:14 ,零克,2018-04-09 06:07 ,零克,零克,2018-04-10 11:14 ,,,
zcrm_105530000001792986,尼可亮汽车修理,,,高桥镇凌江路65号,上海,百度地图,,0,,,,021-38970331/15821785552,2018-04-10 11:14 ,零克,2018-04-09 06:07 ,零克,零克,2018-04-10 11:14 ,,,
zcrm_105530000001792987,小马汽车维修服务,,,沙浦路443,上海,百度地图,,0,,,,13661403284,2018-04-10 11:14 ,零克,2018-04-09 06:07 ,零克,零克,2018-04-10 11:14 ,,,
zcrm_105530000001792988,上海妙金汽车修理有限公司,,,上海市浦东新区川沙路4137弄21号,上海,百度地图,,0,,,,021-58922224,2018-04-10 11:14 ,零克,2018-04-09 06:07 ,零克,零克,2018-04-10 11:14 ,,,
zcrm_105530000001792989,汽修之佳,,,上海市宝山区长江路360号,上海,百度地图,,0,,,,15800711492,2018-04-10 11:14 ,零克,2018-04-09 06:07 ,零克,零克,2018-04-10 11:14 ,,,
zcrm_105530000001792990,高雅实业有限公司汽车修理厂,,,上海市静安区彭越浦路616号,上海,百度地图,,0,,,,021-22482410,2018-04-10 11:14 ,零克,2018-04-09 06:07 ,零克,零克,2018-04-10 11:14 ,,,
zcrm_105530000001792992,雍业汽车维修服务(大华店),,,上海市宝山区大华路1363号,上海,百度地图,,0,,,,021-66365773,2018-04-10 11:14 ,零克,2018-04-09 06:07 ,零克,零克,2018-04-10 11:14 ,,,
zcrm_105530000001792993,王李汽车修理厂,,,上海市浦东新区康新上海市浦东新区康新公路85号,上海,百度地图,,0,,,,021-58170891,2018-04-10 11:14 ,零克,2018-04-09 06:07 ,零克,零克,2018-04-10 11:14 ,,,
zcrm_105530000001792994,上海畅快汽车修理有限公司,,,陈家镇北陈公路1476号1幢,上海,百度地图,,0,,,,021-27964627,2018-04-10 11:14 ,零克,2018-04-09 06:07 ,零克,零克,2018-04-10 11:14 ,,,
zcrm_105530000001792995,上海曲丹汽车修理厂,,,城南路1362号,上海,百度地图,,0,,,,021-58000207,2018-04-10 11:14 ,零克,2018-04-09 06:07 ,零克,零克,2018-04-10 11:14 ,,,
zcrm_105530000001792997,志成汽车维修,,,川沙路2404-2407号,上海,百度地图,,0,,,,13916425329/13524046978,2018-04-10 11:14 ,零克,2018-04-09 06:07 ,零克,零克,2018-04-10 11:14 ,,,
zcrm_105530000001792998,金亮汽车修理服务部,,,草高支路661号,上海,百度地图,,0,,,,13564287268,2018-04-10 11:14 ,零克,2018-04-09 06:07 ,零克,零克,2018-04-10 11:14 ,,,
zcrm_105530000001792999,元萌汽车维修,,,罗店镇祁北东路77号,上海,百度地图,,0,,,,13764559995,2018-04-10 11:14 ,零克,2018-04-09 06:07 ,零克,零克,2018-04-10 11:14 ,,,
zcrm_105530000001793000,上海申利汽车修理有限公司,,,江场西路570号乙,上海,百度地图,,0,,,,021-36321766,2018-04-10 11:14 ,零克,2018-04-09 06:07 ,零克,零克,2018-04-10 11:14 ,,,
zcrm_105530000001885380,源丰汽车钣金喷漆,低,,余马路4号源丰汽修,,,,,,,,15888098181/15888018833,2018-04-11 01:17 ,零克,2018-04-11 01:17 ,零克,零克,,,单顺锋,
zcrm_105530000001885381,永跃汽修厂,,,浙江省宁波市余姚市丰山西路,,,,,,,,62816505/62829739,2018-04-11 01:17 ,零克,2018-04-11 01:17 ,零克,零克,,,,
zcrm_105530000001885382,万顺汽修,低,,绍兴市柯桥区，上虞区，迎宾大道,,,,,,,,13429503574/18967592209,2018-04-11 01:17 ,零克,2018-04-11 01:17 ,零克,零克,,,,
zcrm_105530000001885383,桐乡濮院小拇指,,,桐乡濮院大道2728号（杰凯创业园内）,,,,,,,,18857109917,2018-04-11 01:17 ,零克,2018-04-11 01:17 ,零克,零克,,,施理红,
zcrm_105530000001885384,天城汽车维修,高,,浙江省嘉兴市桐乡市梧桐街道东方路523号,,,,,,,,13819399575/15958308155,2018-04-11 01:17 ,零克,2018-04-11 01:17 ,零克,零克,,,沈春东,
zcrm_105530000001885385,硕德汽车一站式服务,低,,苏州市吴江区辽浜路,,,,,,,,18912734997/13812705002,2018-04-11 01:17 ,零克,2018-04-11 01:17 ,零克,零克,,,,
zcrm_105530000001885386,明速汽车修理,低,,绍兴市柯桥区，上虞区，镇西路,,,,,,,,18967595771,2018-04-11 01:17 ,零克,2018-04-11 01:17 ,零克,零克,,,,
zcrm_105530000001885387,老兵汽车维修,中,,柯桥区齐贤镇,,,,,,,,15888853664,2018-04-11 01:17 ,零克,2018-04-11 01:17 ,零克,零克,,,,
zcrm_105530000001885388,兰溪市永欣汽车售后服务中心,,,浙江省金华市兰溪市兰江街道环城西路上黄村,,,,,,,,15888978881/0579-88966432,2018-04-11 01:17 ,零克,2018-04-11 01:17 ,零克,零克,,,徐小惠,
zcrm_105530000001885389,嘉兴市我能汽车维修有限公司,低,,浙江省嘉兴市南湖区南湖街道吴泾路105号,,,,,,,,18906731812/0573-82821860,2018-04-11 01:17 ,零克,2018-04-11 01:17 ,零克,零克,,,沈晓华,
zcrm_105530000001885390,恒杰汽车服务中心,低,,苏州市吴江区织庄路,,,,,,,,18351637776,2018-04-11 01:17 ,零克,2018-04-11 01:17 ,零克,零克,,,,
zcrm_105530000001885391,海宁万事达汽车修理部,低,,海宁市南苑路南苑桥东堍,,,,,,,,18957332885,2018-04-11 06:05 ,零克,2018-04-11 01:17 ,零克,零克,2018-04-11 06:05 ,,,
zcrm_105530000001885392,国立汽福,低,,嘉兴市海宁市许村镇320国道永福路口,,,,,,,,15868387510,2018-04-11 01:17 ,零克,2018-04-11 01:17 ,零克,零克,,,,
zcrm_105530000001885393,峰行汽车快修,高,,海宁市长安镇长河路朝阳桥峰行汽车快修,,,,,,,,15967386809,2018-04-11 01:17 ,零克,2018-04-11 01:17 ,零克,零克,,,,
zcrm_105530000001885394,鼎城汽车维修,低,,东部汽修,,,,,,,,15867221217/15867288867,2018-04-11 01:17 ,零克,2018-04-11 01:17 ,零克,零克,,,,
zcrm_105530000001885395,奔宝汽车维修中心,无,,,,,,,,,,15257331000,2018-04-11 06:06 ,零克,2018-04-11 01:17 ,零克,零克,2018-04-11 06:06 ,未添加,,
zcrm_105530000001885396,保航汽车维修,低,,苏州市吴江区松北公路,,,,,,,,18012705986/13338019319,2018-04-11 01:17 ,零克,2018-04-11 01:17 ,零克,零克,,,,
