
TASKID,主题,价值,任务所有者,优先级,修改时间,修改者,涉及对象,关闭时间,创建时间,创建者,到期日期,增加营销活动信息,备注,微信状态,拨打状态,描述,标签,状态,行动摘要
zcrm_105530000001891220,18年春电销,无,倩倩,高,2018-04-10 02:56 下午,倩倩,鹤城汽车修配有限公司,2018-04-10 02:56 下午,2018-04-10 08:55 上午,零克,2018-04-10,电话营销,,,有效沟通,,,完成,
zcrm_105530000001891221,18年春电销,低,倩倩,高,2018-04-10 02:55 下午,倩倩,极速汽车快修,2018-04-10 02:55 下午,2018-04-10 08:55 上午,零克,2018-04-10,电话营销,,已请求,有效沟通,,,完成,
zcrm_105530000001891223,18年春电销,低,倩倩,高,2018-04-10 02:53 下午,倩倩,车当家汽修店,2018-04-10 02:53 下午,2018-04-10 08:55 上午,零克,2018-04-10,电话营销,,已请求,有效沟通,,,完成,
zcrm_105530000001891224,18年春电销,中,倩倩,高,2018-04-10 02:48 下午,倩倩,云和县新腾达汽车修理厂,2018-04-10 02:48 下午,2018-04-10 08:55 上午,零克,2018-04-10,电话营销,,已请求,有效沟通,,,完成,
zcrm_105530000001891225,18年春电销,,倩倩,高,2018-04-10 02:44 下午,倩倩,青田德宝汽车维修厂,2018-04-10 02:44 下午,2018-04-10 08:55 上午,零克,2018-04-10,电话营销,,已请求,未接听/正在通话/对方忙/信号差,,,完成,
zcrm_105530000001891226,18年春电销,,倩倩,高,2018-04-10 02:40 下午,倩倩,遂昌捷通汽修服务中心,2018-04-10 02:40 下午,2018-04-10 08:55 上午,零克,2018-04-10,电话营销,,,空号/错号/停机,,,完成,
zcrm_105530000001891227,18年春电销,低,倩倩,高,2018-04-10 02:40 下午,倩倩,恒盛汽车维修店,2018-04-10 02:40 下午,2018-04-10 08:55 上午,零克,2018-04-10,电话营销,,已请求,有效沟通,,,完成,
zcrm_105530000001891228,18年春电销,,倩倩,高,2018-04-10 02:36 下午,倩倩,遂昌县畅通汽车修理厂,2018-04-10 02:36 下午,2018-04-10 08:55 上午,零克,2018-04-10,电话营销,,,空号/错号/停机,,,完成,
zcrm_105530000001891229,18年春电销,无,倩倩,高,2018-04-10 02:36 下午,倩倩,五分仓内鑫都汽修厂,2018-04-10 02:36 下午,2018-04-10 08:55 上午,零克,2018-04-10,电话营销,,,拒绝沟通,,,完成,
zcrm_105530000001891230,18年春电销,高,倩倩,高,2018-04-10 02:35 下午,倩倩,小拇指汽车快修中心,2018-04-10 02:35 下午,2018-04-10 08:55 上午,零克,2018-04-10,电话营销,寄资料,,拒绝沟通,,,完成,
zcrm_105530000001891231,18年春电销,无,倩倩,高,2018-04-10 02:33 下午,倩倩,松阳红日汽车修理厂,2018-04-10 02:33 下午,2018-04-10 08:55 上午,零克,2018-04-10,电话营销,,,拒绝沟通,,,完成,
zcrm_105530000001891235,18年春电销,无,倩倩,高,2018-04-10 02:32 下午,倩倩,(松阳服务区)浙江龙丽丽龙高速公路汽车维修(松阳)服务区,2018-04-10 02:32 下午,2018-04-10 08:55 上午,零克,2018-04-10,电话营销,,,拒绝沟通,,,完成,
zcrm_105530000001891236,18年春电销,无,倩倩,高,2018-04-11 01:32 下午,倩倩,时代汽修,2018-04-11 01:32 下午,2018-04-10 08:55 上午,零克,2018-04-10,电话营销,,,拒绝沟通,,,完成,
zcrm_105530000001891237,18年春电销,低,倩倩,高,2018-04-10 02:30 下午,倩倩,交通汽车维修中心,2018-04-10 02:30 下午,2018-04-10 08:55 上午,零克,2018-04-10,电话营销,,,有效沟通,,,完成,
zcrm_105530000001891238,18年春电销,,倩倩,高,2018-04-10 02:26 下午,倩倩,世发汽车修理厂,2018-04-10 02:26 下午,2018-04-10 08:55 上午,零克,2018-04-10,电话营销,,,空号/错号/停机,,,完成,
zcrm_105530000001891239,18年春电销,低,倩倩,高,2018-04-10 02:26 下午,倩倩,流浪小车快修,2018-04-10 02:26 下午,2018-04-10 08:55 上午,零克,2018-04-10,电话营销,,已请求,有效沟通,,,完成,
zcrm_105530000001891240,18年春电销,无,倩倩,高,2018-04-10 02:23 下午,倩倩,小景宁汽车快修,2018-04-10 02:23 下午,2018-04-10 08:55 上午,零克,2018-04-10,电话营销,,,拒绝沟通,,,完成,
zcrm_105530000001891241,18年春电销,,倩倩,高,2018-04-10 02:22 下午,倩倩,宝龙汽修,2018-04-10 02:22 下午,2018-04-10 08:55 上午,零克,2018-04-10,电话营销,,,空号/错号/停机,,,完成,
zcrm_105530000001891242,18年春电销,无,倩倩,高,2018-04-10 02:21 下午,倩倩,云和县迅捷汽车修配厂,2018-04-10 02:21 下午,2018-04-10 08:55 上午,零克,2018-04-10,电话营销,,未添加,拒绝沟通,,,完成,
zcrm_105530000001891243,18年春电销,无,倩倩,高,2018-04-10 02:20 下午,倩倩,丽水市曙光相机维修中心,2018-04-10 02:20 下午,2018-04-10 08:55 上午,零克,2018-04-10,电话营销,相机维修,已添加,拒绝沟通,,,完成,
zcrm_105530000001891244,18年春电销,无,倩倩,高,2018-04-10 02:15 下午,倩倩,宝沅汽车快修,2018-04-10 02:15 下午,2018-04-10 08:55 上午,零克,2018-04-10,电话营销,装潢的,,拒绝沟通,,,完成,
zcrm_105530000001891245,18年春电销,无,倩倩,高,2018-04-10 02:14 下午,倩倩,云和恒迅汽车修配厂,2018-04-10 02:14 下午,2018-04-10 08:55 上午,零克,2018-04-10,电话营销,,,拒绝沟通,,,完成,
zcrm_105530000001891246,18年春电销,无,倩倩,高,2018-04-11 01:30 下午,倩倩,铁扳手汽车快修丽水店,2018-04-11 01:30 下午,2018-04-10 08:55 上午,零克,2018-04-10,电话营销,,,拒绝沟通,,,完成,
zcrm_105530000001891247,18年春电销,无,倩倩,高,2018-04-10 02:11 下午,倩倩,茂业天地(盐市口店),2018-04-10 02:11 下午,2018-04-10 08:55 上午,零克,2018-04-10,电话营销,,,拒绝沟通,,,完成,
zcrm_105530000001891248,18年春电销,低,倩倩,高,2018-04-10 02:10 下午,倩倩,恒泰汽车维修中心,2018-04-10 02:10 下午,2018-04-10 08:55 上午,零克,2018-04-10,电话营销,,已请求,有效沟通,,,完成,
zcrm_105530000001891249,18年春电销,高,倩倩,高,2018-04-10 02:07 下午,倩倩,车尚缘汽车快修中心,2018-04-10 02:07 下午,2018-04-10 08:55 上午,零克,2018-04-10,电话营销,,已添加,有效沟通,,,完成,
zcrm_105530000001891250,18年春电销,无,倩倩,高,2018-04-10 02:07 下午,倩倩,何锡平汽车维修,2018-04-10 02:06 下午,2018-04-10 08:55 上午,零克,2018-04-10,电话营销,,未添加,未接听/正在通话/对方忙/信号差,,,完成,
zcrm_105530000001891251,18年春电销,无,倩倩,高,2018-04-10 01:48 下午,倩倩,松林轿修,2018-04-10 01:48 下午,2018-04-10 08:55 上午,零克,2018-04-10,电话营销,,,拒绝沟通,,,完成,
zcrm_105530000001891252,18年春电销,无,倩倩,高,2018-04-10 01:31 下午,倩倩,绍兴吉星康迪纯电动汽车,2018-04-10 01:31 下午,2018-04-10 08:55 上午,零克,2018-04-10,电话营销,,,拒绝沟通,,,完成,
zcrm_105530000001891253,18年春电销,,倩倩,高,2018-04-10 02:14 下午,倩倩,精诚·汽车维修服务,2018-04-10 02:14 下午,2018-04-10 08:55 上午,零克,2018-04-10,电话营销,,,未接听/正在通话/对方忙/信号差,,,完成,
zcrm_105530000001891254,18年春电销,低,倩倩,高,2018-04-10 11:50 上午,倩倩,恒隆汽修,2018-04-10 11:50 上午,2018-04-10 08:55 上午,零克,2018-04-10,电话营销,,已添加,有效沟通,,,完成,
zcrm_105530000001891255,18年春电销,,倩倩,高,2018-04-10 11:48 上午,倩倩,墟北轿修中心,2018-04-10 11:48 上午,2018-04-10 08:55 上午,零克,2018-04-10,电话营销,说是不需要,,未接听/正在通话/对方忙/信号差,,,完成,
zcrm_105530000001891256,18年春电销,,倩倩,高,2018-04-10 11:47 上午,倩倩,上虞正大汽配汽修,2018-04-10 11:47 上午,2018-04-10 08:55 上午,零克,2018-04-10,电话营销,,,未接听/正在通话/对方忙/信号差,,,完成,
zcrm_105530000001891257,18年春电销,,倩倩,高,2018-04-10 11:45 上午,倩倩,皋埠轮胎店,2018-04-10 11:45 上午,2018-04-10 08:55 上午,零克,2018-04-10,电话营销,轮胎,,拒绝沟通,,,完成,
zcrm_105530000001891258,18年春电销,,倩倩,高,2018-04-10 11:43 上午,倩倩,诸暨宝德汽车快速维修,2018-04-10 11:43 上午,2018-04-10 08:55 上午,零克,2018-04-10,电话营销,,,未接听/正在通话/对方忙/信号差,,,完成,
zcrm_105530000001891260,18年春电销,,倩倩,高,2018-04-10 11:40 上午,倩倩,汽车快修3S绍兴伟力店,2018-04-10 11:40 上午,2018-04-10 08:55 上午,零克,2018-04-10,电话营销,,,未接听/正在通话/对方忙/信号差,,,完成,
zcrm_105530000001891261,18年春电销,,倩倩,高,2018-04-10 11:40 上午,倩倩,小强汽车修理厂,2018-04-10 11:39 上午,2018-04-10 08:55 上午,零克,2018-04-10,电话营销,,,拒绝沟通,,,完成,
zcrm_105530000001891262,18年春电销,低,倩倩,高,2018-04-10 11:31 上午,倩倩,恒诚汽车快修,2018-04-10 11:31 上午,2018-04-10 08:55 上午,零克,2018-04-10,电话营销,,已请求,有效沟通,,,完成,
zcrm_105530000001891263,18年春电销,,倩倩,高,2018-04-10 11:26 上午,倩倩,宝宏轿修,2018-04-10 11:26 上午,2018-04-10 08:55 上午,零克,2018-04-10,电话营销,,,未接听/正在通话/对方忙/信号差,,,完成,
zcrm_105530000001891264,18年春电销,,倩倩,高,2018-04-10 11:25 上午,倩倩,庆江五十铃汽修,2018-04-10 11:25 上午,2018-04-10 08:55 上午,零克,2018-04-10,电话营销,,,空号/错号/停机,,,完成,
zcrm_105530000001891266,18年春电销,低,倩倩,高,2018-04-10 11:22 上午,倩倩,国超汽车维修,2018-04-10 11:22 上午,2018-04-10 08:55 上午,零克,2018-04-10,电话营销,,已请求,有效沟通,,,完成,
zcrm_105530000001891267,18年春电销,高,倩倩,高,2018-04-10 11:19 上午,倩倩,新风景汽修,2018-04-10 11:19 上午,2018-04-10 08:55 上午,零克,2018-04-10,电话营销,,已添加,有效沟通,,,完成,
zcrm_105530000001891269,18年春电销,,倩倩,高,2018-04-10 10:20 上午,倩倩,诸羊汽车维修保养中心,2018-04-10 10:20 上午,2018-04-10 08:55 上午,零克,2018-04-10,电话营销,搞保养的,,拒绝沟通,,,完成,
zcrm_105530000001891270,18年春电销,低,倩倩,高,2018-04-10 10:10 上午,倩倩,上虞区伟丽汽车服务有限公司,2018-04-10 10:10 上午,2018-04-10 08:55 上午,零克,2018-04-10,电话营销,,已请求,有效沟通,,,完成,
zcrm_105530000001891271,18年春电销,,倩倩,高,2018-04-10 10:06 上午,倩倩,领航轿修服务中心,2018-04-10 10:06 上午,2018-04-10 08:55 上午,零克,2018-04-10,电话营销,,,未接听/正在通话/对方忙/信号差,,,完成,
zcrm_105530000001891272,18年春电销,,倩倩,高,2018-04-10 09:55 上午,倩倩,柯洁汽车维修,2018-04-10 09:55 上午,2018-04-10 08:55 上午,零克,2018-04-10,电话营销,,,拒绝沟通,,,完成,
zcrm_105530000001891274,18年春电销,低,倩倩,高,2018-04-10 09:48 上午,倩倩,伟剑汽修,2018-04-10 09:48 上午,2018-04-10 08:55 上午,零克,2018-04-10,电话营销,,已请求,有效沟通,,,完成,
zcrm_105530000001891275,18年春电销,,倩倩,高,2018-04-10 09:46 上午,倩倩,绍兴县荣恒汽车维修有限公司,2018-04-10 09:46 上午,2018-04-10 08:55 上午,零克,2018-04-10,电话营销,,,拒绝沟通,,,完成,
zcrm_105530000001891276,18年春电销,,倩倩,高,2018-04-10 09:44 上午,倩倩,越城轿修,2018-04-10 09:44 上午,2018-04-10 08:55 上午,零克,2018-04-10,电话营销,,,拒绝沟通,,,完成,
zcrm_105530000001891277,18年春电销,中,倩倩,高,2018-04-10 09:31 上午,倩倩,上虞市虞伟汽车修理厂,2018-04-10 09:31 上午,2018-04-10 08:55 上午,零克,2018-04-10,电话营销,,已添加,有效沟通,,,完成,
zcrm_105530000001891278,18年春电销,,倩倩,高,2018-04-10 09:24 上午,倩倩,袍江建兴汽车修理部,2018-04-10 09:24 上午,2018-04-10 08:55 上午,零克,2018-04-10,电话营销,,,拒绝沟通,,,完成,
zcrm_105530000001891280,18年春电销,低,倩倩,高,2018-04-10 09:17 上午,倩倩,车骑王子汽修,2018-04-10 09:17 上午,2018-04-10 08:55 上午,零克,2018-04-10,电话营销,,已请求,有效沟通,,,完成,
zcrm_105530000001891281,18年春电销,,倩倩,高,2018-04-10 09:14 上午,倩倩,绍兴县汇鑫汽车修理中心,2018-04-10 09:14 上午,2018-04-10 08:55 上午,零克,2018-04-10,电话营销,,,未接听/正在通话/对方忙/信号差,,,完成,
zcrm_105530000001891282,18年春电销,中,倩倩,高,2018-04-10 09:09 上午,倩倩,诸暨市蔡彬汽车修理部,2018-04-10 09:09 上午,2018-04-10 08:55 上午,零克,2018-04-10,电话营销,,已请求,有效沟通,,,完成,
zcrm_105530000001891283,18年春电销,中,倩倩,高,2018-04-10 09:04 上午,倩倩,阿灿汽修,2018-04-10 09:04 上午,2018-04-10 08:55 上午,零克,2018-04-10,电话营销,,已请求,有效沟通,,,完成,
zcrm_105530000001891284,18年春电销,无,倩倩,高,2018-04-10 08:56 上午,倩倩,阿三快修,2018-04-10 08:56 上午,2018-04-10 08:55 上午,零克,2018-04-10,电话营销,,未添加,空号/错号/停机,,,完成,
zcrm_105530000001894326,18年春电销,无,小丁,高,2018-04-10 11:35 上午,小丁,上海宝山向东汽车修理厂,2018-04-10 11:35 上午,2018-04-10 09:59 上午,零克,2018-04-10,电话营销,,未添加,有效沟通,,,完成,
zcrm_105530000001894328,18年春电销,无,小丁,高,2018-04-10 03:14 下午,小丁,长城汽修,2018-04-10 03:14 下午,2018-04-10 09:59 上午,零克,2018-04-10,电话营销,,未添加,有效沟通,,,完成,
zcrm_105530000001894330,18年春电销,无,小丁,高,2018-04-10 11:38 上午,小丁,上海陆岭汽车修理厂,2018-04-10 11:38 上午,2018-04-10 09:59 上午,零克,2018-04-10,电话营销,,未添加,空号/错号/停机,,,完成,
zcrm_105530000001894331,18年春电销,无,小丁,高,2018-04-10 11:34 上午,小丁,东风汽修,2018-04-10 11:34 上午,2018-04-10 09:59 上午,零克,2018-04-10,电话营销,,未添加,有效沟通,,,完成,
zcrm_105530000001894332,18年春电销,中,小丁,高,2018-04-10 11:42 上午,小丁,睿富汽修,2018-04-10 11:42 上午,2018-04-10 09:59 上午,零克,2018-04-10,电话营销,,已请求,有效沟通,,,完成,
zcrm_105530000001894333,18年春电销,中,小丁,高,2018-04-10 11:44 上午,小丁,车杰汽修连锁,2018-04-10 11:44 上午,2018-04-10 09:59 上午,零克,2018-04-10,电话营销,,已请求,有效沟通,,,完成,
zcrm_105530000001894334,18年春电销,,小丁,高,2018-04-10 03:14 下午,小丁,佳通轿车服务站(NO.0330),2018-04-10 03:14 下午,2018-04-10 09:59 上午,零克,2018-04-10,电话营销,,,拒绝接听,,,完成,
zcrm_105530000001894335,18年春电销,无,小丁,高,2018-04-10 11:56 上午,小丁,诚信汽车修理厂,2018-04-10 11:56 上午,2018-04-10 09:59 上午,零克,2018-04-10,电话营销,修货车的,未添加,有效沟通,,,完成,
zcrm_105530000001894337,18年春电销,中,小丁,高,2018-04-10 03:13 下午,小丁,经工汽车服务连锁,2018-04-10 03:13 下午,2018-04-10 09:59 上午,零克,2018-04-10,电话营销,,已请求,有效沟通,,,完成,
zcrm_105530000001894338,18年春电销,中,小丁,高,2018-04-10 12:03 下午,小丁,志远专业汽修,2018-04-10 12:03 下午,2018-04-10 09:59 上午,零克,2018-04-10,电话营销,,已请求,有效沟通,,,完成,
zcrm_105530000001894339,18年春电销,,小丁,高,2018-04-10 03:10 下午,小丁,上海大众汽车南空特约维修站,2018-04-10 03:10 下午,2018-04-10 09:59 上午,零克,2018-04-10,电话营销,,,拒绝接听,,,完成,
zcrm_105530000001894340,18年春电销,高,小丁,高,2018-04-10 01:09 下午,小丁,宇腾汽车修理部,2018-04-10 01:09 下午,2018-04-10 09:59 上午,零克,2018-04-10,电话营销,有合作对象,已请求,有效沟通,,,完成,
zcrm_105530000001894341,18年春电销,,小丁,高,2018-04-10 03:15 下午,小丁,古苑汽车修理厂,2018-04-10 03:15 下午,2018-04-10 09:59 上午,零克,2018-04-10,电话营销,,,拒绝接听,,,完成,
zcrm_105530000001894342,18年春电销,低,小丁,高,2018-04-10 01:13 下午,小丁,上海小宇汽车修理有限公司,2018-04-10 01:13 下午,2018-04-10 09:59 上午,零克,2018-04-10,电话营销,,已请求,有效沟通,,,完成,
zcrm_105530000001894343,18年春电销,中,小丁,高,2018-04-10 01:16 下午,小丁,永发汽车修理厂,2018-04-10 01:16 下午,2018-04-10 09:59 上午,零克,2018-04-10,电话营销,,已请求,有效沟通,,,完成,
zcrm_105530000001894344,18年春电销,中,小丁,高,2018-04-10 01:19 下午,小丁,安吉汽修,2018-04-10 01:19 下午,2018-04-10 09:59 上午,零克,2018-04-10,电话营销,,已请求,有效沟通,,,完成,
zcrm_105530000001894345,18年春电销,无,小丁,高,2018-04-10 01:22 下午,小丁,川鑫汽车专业维修美容,2018-04-10 01:22 下午,2018-04-10 09:59 上午,零克,2018-04-10,电话营销,,未添加,有效沟通,,,完成,
zcrm_105530000001894346,18年春电销,,小丁,高,2018-04-10 01:22 下午,小丁,佳捷汽车维修,2018-04-10 01:22 下午,2018-04-10 09:59 上午,零克,2018-04-10,电话营销,,,空号/错号/停机,,,完成,
zcrm_105530000001894347,18年春电销,,小丁,高,2018-04-10 03:09 下午,小丁,阳光汽修,2018-04-10 03:09 下午,2018-04-10 09:59 上午,零克,2018-04-10,电话营销,,,拒绝接听,,,完成,
zcrm_105530000001894348,18年春电销,高,小丁,高,2018-04-10 01:28 下午,小丁,知车汇汽车服务(杨鑫路),2018-04-10 01:28 下午,2018-04-10 09:59 上午,零克,2018-04-10,电话营销,有合作对象，寄杂志,未添加,有效沟通,,,完成,
zcrm_105530000001894349,18年春电销,无,小丁,高,2018-04-10 01:29 下午,小丁,风行汽车上海风神营销店,2018-04-10 01:29 下午,2018-04-10 09:59 上午,零克,2018-04-10,电话营销,,,有效沟通,,,完成,
zcrm_105530000001894350,18年春电销,,小丁,高,2018-04-10 03:08 下午,小丁,铑晨汽修厂,2018-04-10 03:08 下午,2018-04-10 09:59 上午,零克,2018-04-10,电话营销,,,拒绝接听,,,完成,
zcrm_105530000001894352,18年春电销,无,小丁,高,2018-04-10 01:34 下午,小丁,东风风神上海东神专营店,2018-04-10 01:34 下午,2018-04-10 09:59 上午,零克,2018-04-10,电话营销,,,有效沟通,,,完成,
zcrm_105530000001894353,18年春电销,低,小丁,高,2018-04-10 01:41 下午,小丁,上汽大众汽车泰宸特约维修站,2018-04-10 11:33 上午,2018-04-10 09:59 上午,零克,2018-04-10,电话营销,,未添加,有效沟通,,,完成,
zcrm_105530000001894354,18年春电销,无,小丁,高,2018-04-10 01:42 下午,小丁,上海远程汽车维修有限公司,2018-04-10 01:42 下午,2018-04-10 09:59 上午,零克,2018-04-10,电话营销,,未添加,有效沟通,,,完成,
zcrm_105530000001894356,18年春电销,无,小丁,高,2018-04-10 01:44 下午,小丁,上海九华汽车维修有限公司,2018-04-10 01:44 下午,2018-04-10 09:59 上午,零克,2018-04-10,电话营销,,,有效沟通,,,完成,
zcrm_105530000001894360,18年春电销,中,小丁,高,2018-04-10 01:46 下午,小丁,舒畅汽车修理厂,2018-04-10 01:46 下午,2018-04-10 09:59 上午,零克,2018-04-10,电话营销,,已请求,有效沟通,,,完成,
zcrm_105530000001894361,18年春电销,中,小丁,高,2018-04-10 01:47 下午,小丁,美车堂汽车快修中心,2018-04-10 01:47 下午,2018-04-10 09:59 上午,零克,2018-04-10,电话营销,,未添加,拒绝沟通,,,完成,
zcrm_105530000001894362,18年春电销,无,小丁,高,2018-04-10 01:48 下午,小丁,上海捷宝汽车维修服务有限公司,2018-04-10 01:48 下午,2018-04-10 09:59 上午,零克,2018-04-10,电话营销,修大货车,,有效沟通,,,完成,
